0	1739	1	0
1748	2227	1	0
2224	2523	1	0
2490	3005	-1	0
3002	3286	-1	0
3286	3639	-1	0
3964	5229	-1	0
5339	6232	1	0
6294	7844	1	0
8185	10005	-1	0
10217	10726	-1	0
10811	12394	1	0
13914	15206	-1	0
15351	15698	1	0
16068	17048	-1	0
17136	17519	-1	0
17765	18331	-1	0
18522	20330	-1	0
21568	22584	-1	0
22810	23706	-1	0
23745	24236	-1	0
24325	24567	-1	0
25250	25786	1	0
25783	26703	1	0
26831	29854	1	0
29871	32234	1	0
32225	34003	-1	0
33921	34592	-1	0
34598	34876	1	0
34789	35472	-1	0
35879	36274	1	0
37348	39507	1	0
39507	40148	1	0
40150	41148	-1	0
41244	42035	1	0
42211	43860	1	0
43893	44567	-1	0
44599	46044	-1	0
46041	48167	-1	0
48164	49336	-1	0
49428	50036	-1	0
50038	50652	-1	0
50758	51369	1	0
51342	52526	1	0
52686	53360	1	0
53428	54966	-1	0
55350	56693	-1	0
56767	57087	-1	0
57115	58500	-1	0
58639	60051	1	0
60144	60398	-1	0
60832	61227	1	0
61322	62071	-1	0
62252	64435	-1	0
64691	66196	-1	0
66211	67842	-1	0
67844	68380	-1	0
68496	70289	1	0
70286	71305	1	0
71363	72358	-1	0
72421	73218	1	0
73226	73783	-1	0
74088	75464	-1	0
75452	76513	-1	0
76631	78814	-1	0
78849	79568	-1	0
79647	79979	-1	0
80147	80584	1	0
80793	81737	1	0
81842	82696	1	0
82721	83071	-1	0
83206	84981	1	0
85115	85297	-1	0
85541	85801	1	0
85905	86927	1	0
87063	87674	1	0
87900	88229	1	0
88276	88503	1	0
88989	89591	-1	1
89708	91888	-1	1
92014	93570	1	1
93567	94865	1	1
94865	95236	1	1
95233	96729	-1	3
96953	97921	1	3
97993	99204	1	3
99182	100807	-1	3
100922	102139	1	2
102136	103626	1	2
103868	104923	1	1
104935	106155	1	2
106355	107260	1	2
107257	108027	1	2
108043	108759	-1	2
108759	110090	-1	2
110087	111238	-1	2
111235	112188	-1	2
112788	114974	1	0
115375	116361	1	0
116495	117385	1	0
117426	117851	1	0
118351	119529	1	2
119531	119974	1	2
119967	120383	1	2
120380	121897	1	2
122188	123264	1	0
123755	124405	1	0
124634	126481	-1	0
126492	127994	-1	0
128007	130151	-1	0
